# ES Parsing Summary Log
# Generated: 2025-09-01 17:05:34
# Timestamp: 20250901_170534
📊 Processing Summary:
   ✅ Processed: 222 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\es\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
ES - 001 - A LA VÍCTIMA PASCUAL.chordpro | A LA VÍCTIMA PASCUAL | 3 roles | 26 verses | Fa, Fa 7, La 7, La–, Mi, Re–, Re– 9
ES - 048 - EL SEÑOR ES MI PASTOR.chordpro | EL SEÑOR ES MI PASTOR | 12 roles | 31 verses | Fa, La–, Mi, Sol
ES - 049 - ELÍ, ELÍ, LAMÁ SABACTANÍ.chordpro | ELÍ, ELÍ, LAMÁ SABACTANÍ | 8 roles | 56 verses | La–, Mi–, Si 7
ES - 050 - EN MEDIO DE AQUEL GENTÍO.chordpro | EN MEDIO DE AQUEL GENTÍO | 8 roles | 25 verses | Fa, La–, Mi, Sol
ES - 051 - ERES HERMOSO.chordpro | ERES HERMOSO | 11 roles | 32 verses | Do#–, Fa#–, La, Mi, Si, Sol#
ES - 052 - ESCÓNDEME EN LO OCULTO DE TU TIENDA.chordpro | ESCÓNDEME EN LO OCULTO DE TU TIENDA | 13 roles | 33 verses | Do, Mi–, Re, Si 7
ES - 053 - ESTÁN ROTAS MIS ATADURAS.chordpro | ESTÁN ROTAS MIS ATADURAS | 4 roles | 27 verses | Fa, Fa#, La, La–, Mi, Mi–, Re, Re–, Si, Si–, Sol
ES - 054 - ÉSTE ES EL DÍA EN QUE ACTUÓ EL SEÑOR.chordpro | ÉSTE ES EL DÍA EN QUE ACTUÓ EL SEÑOR | 1 roles | 37 verses | Do, Fa, La–, Mi
ES - 055 - ESTE ES EL MANDAMIENTO MÍO.chordpro | ESTE ES EL MANDAMIENTO MÍO | 10 roles | 29 verses | Do, Fa, La 7, La–, Mi, Re–, Sol
ES - 056 - EVENU SHALOM ALEJEM.chordpro | EVENU SHALOM ALEJEM | 11 roles | 26 verses | La, La 7, Re–, Sol–
ES - 057 - EXULTAD, JUSTOS, EN EL SEÑOR.chordpro | EXULTAD, JUSTOS, EN EL SEÑOR | 5 roles | 19 verses | Do, La–, Mi–, Re, Si 7, Sol
ES - 058 - FELICIDAD PARA EL HOMBRE.chordpro | FELICIDAD PARA EL HOMBRE | 5 roles | 15 verses | Fa, La–, Mi, Mi–, Re–, Re– 9
ES - 059 - GRACIAS A YAHVEH.chordpro | GRACIAS A YAHVEH | 21 roles | 24 verses | Do, La–, Mi–, Re, Re 7, Si 7, Si–, Sol
ES - 060 - GRITAD JUBILOSOS.chordpro | GRITAD JUBILOSOS | 7 roles | 19 verses | Fa, La–, Mi, Sol
ES - 061 - HACIA TI MORADA SANTA.chordpro | HACIA TI MORADA SANTA | 5 roles | 13 verses | Fa, La–, Mi, Sol
ES - 062 - HASTA CUÁNDO.chordpro | HASTA CUÁNDO | 8 roles | 19 verses | La–, Mi
ES - 063 - HE AQUÍ QUE VENGO PRESTO.chordpro | HE AQUÍ QUE VENGO PRESTO | 4 roles | 15 verses | Fa#, La, La 7, Mi 7, Re, Si–
ES - 064 - HE ESPERADO EN EL SEÑOR.chordpro | HE ESPERADO EN EL SEÑOR | 12 roles | 33 verses | Fa, La–, Mi, Mi 7, Mi–
ES - 065 - HIJAS DE JERUSALÉN.chordpro | HIJAS DE JERUSALÉN | 9 roles | 21 verses | Fa, La–, Mi, Sol
ES - 066 - HIMNO A CRISTO LUZ.chordpro | HIMNO A CRISTO LUZ | 3 roles | 13 verses | La–, Mi–, Re 7, Si 7, Sol
ES - 067 - HIMNO A LA KENOSIS.chordpro | HIMNO A LA KENOSIS | 7 roles | 34 verses | Do, La–, Mi–, Re, Si 7, Sol
ES - 068 - HIMNO DE ADVIENTO.chordpro | HIMNO DE ADVIENTO | 2 roles | 16 verses | La 7, Re–, Sol–
ES - 069 - HIMNO DE LA ASCENSIÓN.chordpro | HIMNO DE LA ASCENSIÓN | 7 roles | 19 verses | La–, Sol
ES - 070 - HIMNO DE PASCUA.chordpro | HIMNO DE PASCUA | 4 roles | 15 verses | La 7, La–, Mi, Mi 7, Re–
ES - 071 - ID Y ANUNCIAD A MIS HERMANOS.chordpro | ID Y ANUNCIAD A MIS HERMANOS | 12 roles | 28 verses | Do, Fa, La–, Mi, Re–, Sol
ES - 072 - IMPROPERIOS.chordpro | IMPROPERIOS | 15 roles | 34 verses | La–, Mi–, Si 7
ES - 073 - JERUSALÉN RECONSTRUIDA.chordpro | JERUSALÉN RECONSTRUIDA | 9 roles | 39 verses | Mi–, Re
ES - 074 - LA MARCHA ES DURA.chordpro | LA MARCHA ES DURA | 4 roles | 13 verses | La–, Mi–, Si 7
ES - 075 - LA SALVE.chordpro | LA SALVE | 1 roles | 16 verses | Fa, La–, Mi, Mi–
ES - 076 - LA SIEGA DE LAS NACIONES.chordpro | LA SIEGA DE LAS NACIONES | 11 roles | 31 verses | Do, La, Re–, Sib, Sol–
ES - 077 - LEVANTO MIS OJOS A LOS MONTES.chordpro | LEVANTO MIS OJOS A LOS MONTES | 7 roles | 21 verses | Do, Re, Re 7, Si–, Sol
ES - 078 - LLEGUE HASTA TU PRESENCIA MI CLAMOR.chordpro | LLEGUE HASTA TU PRESENCIA MI CLAMOR | 4 roles | 15 verses | Fa, La–, Mi, Sol
ES - 079 - LLÉVAME AL CIELO.chordpro | LLÉVAME AL CIELO | 9 roles | 20 verses | Do#–, La, Mi, Si 7, Sol#
ES - 080 - MAGNÍFICAT.chordpro | MAGNÍFICAT | 14 roles | 32 verses | La, La 7, Mi, Re, Re La |Mi |La
ES - 081 - MARÍA, CASA DE BENDICIÓN.chordpro | MARÍA, CASA DE BENDICIÓN | 7 roles | 18 verses | Do, La 7, Re–, Sib, Sol–
ES - 082 - MARÍA DE JASNA GÖRA.chordpro | MARÍA DE JASNA GÖRA | 5 roles | 19 verses | La–, Mi–, Si
ES - 083 - MARÍA, MADRE DE LA IGLESIA.chordpro | MARÍA, MADRE DE LA IGLESIA | 5 roles | 27 verses | Fa, Fa 7, La–, Mi, Sol, Sol 7
ES - 084 - MARÍA, MADRE DEL CAMINO ARDIENTE.chordpro | MARÍA, MADRE DEL CAMINO ARDIENTE | 4 roles | 16 verses | Do, La, Mi–, Re, Sol
ES - 085 - MARÍA, PEQUEÑA MARÍA.chordpro | MARÍA, PEQUEÑA MARÍA | 4 roles | 25 verses | Fa#, Fa#–, La, La 7, Mi– 6, Re, Sol
ES - 086 - ME ENSEÑARÁS EL CAMINO DE LA VIDA.chordpro | ME ENSEÑARÁS EL CAMINO DE LA VIDA | 7 roles | 26 verses | Fa, La–, Mi, Re–
ES - 087 - ME HAS SEDUCIDO, SEÑOR.chordpro | ME HAS SEDUCIDO, SEÑOR | 9 roles | 31 verses | Do, Fa, La–, Mi, Mi 7, Sol
ES - 088 - MIRAD QUÉ ESTUPENDO.chordpro | MIRAD QUÉ ESTUPENDO | 13 roles | 27 verses | Do, La–, Mi–, Si 7
ES - 089 - MISERICORDIA MÍA, MISERICORDIA.chordpro | MISERICORDIA MÍA, MISERICORDIA | 12 roles | 54 verses | Do, Re–, Sol–
ES - 090 - MUCHO ME HAN PERSEGUIDO.chordpro | MUCHO ME HAN PERSEGUIDO | 6 roles | 24 verses | La–, Mi
ES - 091 - NO ESTÁ AQUÍ, RESUCITÓ.chordpro | NO ESTÁ AQUÍ, RESUCITÓ | 23 roles | 35 verses | Do, Do 7, Do–, Fa, Fa              Sol       Sol |Mi, Mi, Re 7, Re–, Sol–
ES - 092 - OH CIELOS, LLOVED DE LO ALTO.chordpro | OH CIELOS, LLOVED DE LO ALTO | 21 roles | 24 verses | Fa, La–, Mi, Sol
ES - 093 - OH DIOS, POR TU NOMBRE SÁLVAME.chordpro | OH DIOS, POR TU NOMBRE SÁLVAME | 5 roles | 16 verses | Do, Fa 7, La 7, La–, Mi, Re–, Sib 7, Sol–
ES - 094 - OH DIOS, TÚ ERES MI DIOS.chordpro | OH DIOS, TÚ ERES MI DIOS | 9 roles | 27 verses | Fa, La–, Mi, Re–
ES - 095 - OH JESÚS, AMOR MÍO.chordpro | OH JESÚS, AMOR MÍO | 10 roles | 34 verses | Fa, La–, Mi, Sol
ES - 096 - OH MUERTE ¿DÓNDE ESTÁ TU VICTORIA.chordpro | OH MUERTE ¿DÓNDE ESTÁ TU VICTORIA? | 12 roles | 32 verses | Do, Fa#, La, La–, La– 6, Re, Re 7, Re– 5, Si–, Sol
ES - 097 - OH SEÑOR, NUESTRO DIOS.chordpro | OH SEÑOR, NUESTRO DIOS | 5 roles | 16 verses | Do, La–, Mi–, Si 7, Sol
ES - 098 - OS TOMARÉ DE ENTRE LAS NACIONES.chordpro | OS TOMARÉ DE ENTRE LAS NACIONES | 5 roles | 14 verses | La, Re 7, Re–, Sib, Sol–
ES - 099 - PALOMA INCORRUPTA.chordpro | PALOMA INCORRUPTA | 6 roles | 26 verses | Fa#, Mi–, Si–, Sol
ES - 100 - PENTECOSTÉS.chordpro | PENTECOSTÉS | 8 roles | 35 verses | Do, Fa, La, La 7, Re–, Sib, Sol
ES - 101 - POR EL AMOR DE MIS AMIGOS.chordpro | POR EL AMOR DE MIS AMIGOS | 12 roles | 30 verses | La–, Mi–, Si 7
ES - 102 - POR QUÉ ESTA NOCHE ES DIFERENTE.chordpro | POR QUÉ ESTA NOCHE ES DIFERENTE | 21 roles | 41 verses | La–, Mi, Re–
ES - 103 - POR QUÉ LAS GENTES CONJURAN.chordpro | POR QUÉ LAS GENTES CONJURAN | 7 roles | 34 verses | La–, Mi–, Si 7
ES - 104 - PORQUE MI YUGO ES SUAVE.chordpro | PORQUE MI YUGO ES SUAVE | 4 roles | 16 verses | Do, Fa, La–, Mi
ES - 105 - QUÉ AMABLES SON TUS MORADAS.chordpro | QUÉ AMABLES SON TUS MORADAS | 10 roles | 30 verses | Do, Fa, La–, Mi–, Sol
ES - 106 - QUÉ ESTUPENDO, QUÉ ALEGRÍA.chordpro | QUÉ ESTUPENDO, QUÉ ALEGRÍA | 10 roles | 14 verses | Fa, La–, Mi, Re–, Sol
ES - 107 - QUIÉN NOS SEPARARÁ.chordpro | QUIÉN NOS SEPARARÁ | 8 roles | 26 verses | Fa, La–, Mi, Sol
ES - 108 - QUIERO CANTAR.chordpro | QUIERO CANTAR | 13 roles | 33 verses | Fa#–, La, La 7, Mi–, Re, Sol
ES - 109 - RESUCITÓ.chordpro | RESUCITÓ | 9 roles | 25 verses | Fa, La–, Mi, Sol
ES - 110 - RESURREXIT.chordpro | RESURREXIT | 7 roles | 31 verses | Fa, La–, Mi, Mi 7, Re–
ES - 111 - SALVE, REINA DE LOS CIELOS.chordpro | SALVE, REINA DE LOS CIELOS | 4 roles | 14 verses | Fa, La–, Mi, Mi 7, Re–, Sol
ES - 112 - SE ENCONTRARON DOS ÁNGELES.chordpro | SE ENCONTRARON DOS ÁNGELES | 4 roles | 15 verses | La–, Mi, Re–
ES - 113 - SECUENCIA DEL CORPUS CHRISTI.chordpro | SECUENCIA DEL CORPUS CHRISTI | 22 roles | 75 verses | La–, Mi, Re–
ES - 114 - SEÑOR, AYÚDAME A NO DUDAR DE TI.chordpro | SEÑOR, AYÚDAME A NO DUDAR DE TI | 7 roles | 23 verses | Fa#, La, La 7, Mi–, Re, Si–, Sol
ES - 115 - SEÑOR, NO ME CORRIJAS EN TU CÓLERA.chordpro | SEÑOR, NO ME CORRIJAS EN TU CÓLERA | 11 roles | 26 verses | Fa#, Fa# 5, La, Si–, Sol
ES - 116 - SHLOM-LEJ MARIAM.chordpro | SHLOM-LEJ MARIAM | 7 roles | 22 verses | Do, La–, Mi–, Si 7, Sol
ES - 117 - SI EL SEÑOR NO CONSTRUYE LA CASA.chordpro | SI EL SEÑOR NO CONSTRUYE LA CASA | 8 roles | 23 verses | Do#–, La, Mi, Si, Sol#
ES - 118 - SI HABÉIS RESUCITADO CON CRISTO.chordpro | SI HABÉIS RESUCITADO CON CRISTO | 11 roles | 34 verses | Do, La–, Mi–, Re, Si 7
ES - 119 - SI HOY ESCUCHÁIS SU VOZ.chordpro | SI HOY ESCUCHÁIS SU VOZ | 9 roles | 30 verses | Do#–, Fa#–, Mi, Si 7, Sol#
ES - 120 - SI ME HE REFUGIADO EN EL SEÑOR.chordpro | SI ME HE REFUGIADO EN EL SEÑOR | 3 roles | 21 verses | Do, La–, Mi–, Si 7, Sol
ES - 121 - SIÓN, MADRE DE TODOS LOS PUEBLOS.chordpro | SIÓN, MADRE DE TODOS LOS PUEBLOS | 8 roles | 22 verses | Fa, La–, Mi, Re–, Si 7, Sol
ES - 122 - SOLA A SOLO.chordpro | SOLA A SOLO | 6 roles | 21 verses | Do, Fa, La, Re–, Sib, Sol–
ES - 123 - STABAT MATER DOLOROSA.chordpro | STABAT MATER DOLOROSA | 7 roles | 24 verses | Do 7, La, La 7, Re–, Re– 5, Sib 7, Sol–
ES - 124 - SUBE DIOS ENTRE ACLAMACIONES.chordpro | SUBE DIOS ENTRE ACLAMACIONES | 8 roles | 14 verses | Re–, Sol–
ES - 125 - TE ESTOY LLAMANDO, SEÑOR.chordpro | TE ESTOY LLAMANDO, SEÑOR | 5 roles | 26 verses | Do, Fa, La 7, Re–, Sib, Sol–
ES - 126 - TE HE MANIFESTADO MI PECADO.chordpro | TE HE MANIFESTADO MI PECADO | 8 roles | 33 verses | La–, Re–, Sol
ES - 127 - TÚ QUE ERES FIEL.chordpro | TÚ QUE ERES FIEL | 10 roles | 27 verses | Do, Do–, Re, Re 7, Sol–
ES - 128 - UN RETOÑO BROTA DEL TRONCO DE JESÉ.chordpro | UN RETOÑO BROTA DEL TRONCO DE JESÉ | 14 roles | 39 verses | Do, La–, Mi–, Re, Si 7, Sol
ES - 129 - UNA GRAN SEÑAL.chordpro | UNA GRAN SEÑAL | 6 roles | 40 verses | Fa, La–, Mi, Sol
ES - 130 - URÍ, URÍ, URÍ, URÁ.chordpro | URÍ, URÍ, URÍ, URÁ | 12 roles | 23 verses | La–, Mi
ES - 131 - VAMOS YA, PASTORES.chordpro | VAMOS YA, PASTORES | 7 roles | 24 verses | La–, Mi–, Si 7
ES - 132 - VEN, ESPÍRITU SANTO.chordpro | VEN, ESPÍRITU SANTO | 19 roles | 47 verses | Do, Fa, Mi
ES - 133 - VEN, HIJO DEL HOMBRE.chordpro | VEN, HIJO DEL HOMBRE | 31 roles | 35 verses | Do, La–, Mi–, Si 7
ES - 134 - VENI CREATOR.chordpro | VENI CREATOR | 7 roles | 25 verses | La–, Sol
ES - 135 - VIENE EL SEÑOR.chordpro | VIENE EL SEÑOR | 9 roles | 21 verses | La–, Mi–
ES - 136 - VIRGEN DE LA MARAVILLA.chordpro | VIRGEN DE LA MARAVILLA | 7 roles | 21 verses | Fa#, Mi–, Si–, Sol
ES - 137 - VIVID ALEGRES.chordpro | VIVID ALEGRES | 3 roles | 11 verses | La, La 7, La–, Mi, Re–
ES - 138 - VOSOTROS SOIS LA LUZ DEL MUNDO.chordpro | VOSOTROS SOIS LA LUZ DEL MUNDO | 3 roles | 16 verses | Do, Fa, La–, Mi, Re–
ES - 139 - YA VIENE MI DIOS.chordpro | YA VIENE MI DIOS | 9 roles | 26 verses | Mi–, Si 7
ES - 140 - YAHVEH, TÚ ERES MI DIOS.chordpro | YAHVEH, TÚ ERES MI DIOS | 7 roles | 14 verses | Fa, La–, Mi, Sol
ES - 141 - YO TE AMO, SEÑOR.chordpro | YO TE AMO, SEÑOR | 4 roles | 14 verses | Fa#, La 7, Re, Si–, Sol
ES - 142 - YO VENGO A REUNIR.chordpro | YO VENGO A REUNIR | 11 roles | 22 verses | Do#–, Fa#, La, Mi, Si, Si 7, Sol#
ES - 143 - ZAQUEO.chordpro | ZAQUEO | 12 roles | 36 verses | Fa, La–, Mi, Re–, Sol
ES - 144 - ALELUYA INTERLECCIONAL.chordpro | ALELUYA INTERLECCIONAL | 11 roles | 21 verses | Do, La–, Mi, Mi–, Re, Sol
ES - 145 - ALELUYA PASCUAL.chordpro | ALELUYA PASCUAL | 12 roles | 16 verses | La, Mi
ES - 146 - ANTÍFONA – VERSÍCULO ANTES DEL EVANGELIO.chordpro | ANTÍFONA – VERSÍCULO ANTES DEL EVANGELIO | 8 roles | 24 verses | Do, Mi–, Re, Sol
ES - 147 - BENDICIÓN DEL AGUA.chordpro | BENDICIÓN DEL AGUA | 8 roles | 57 verses | Do, La–, Mi–, Re, Si 7
ES - 148 - BENDICIÓN PENITENCIAL.chordpro | BENDICIÓN PENITENCIAL | 11 roles | 36 verses | Fa, La–, Mi, Re–, Sol
ES - 149 - CORDERO DE DIOS.chordpro | CORDERO DE DIOS | 4 roles | 20 verses | Fa, La–, Mi, Sol
ES - 150 - CREDO.chordpro | CREDO | 1 roles | 18 verses | Do, Fa, La, La–, Re–, Sib
ES - 151 - GLORIA A DIOS EN LO ALTO DEL CIELO.chordpro | GLORIA A DIOS EN LO ALTO DEL CIELO | 10 roles | 26 verses | Fa#–, La, La 7, Mi–, Re, Sol
ES - 152 - LETANÍAS DE LOS SANTOS.chordpro | LETANÍAS DE LOS SANTOS | 16 roles | 75 verses | Do, Mi–, Re 7, Sol
ES - 153 - LETANÍAS PENITENCIALES I.chordpro | LETANÍAS PENITENCIALES I | 14 roles | 15 verses | Do, La–, Mi–, Si 7
ES - 154 - LETANÍAS PENITENCIALES II.chordpro | LETANÍAS PENITENCIALES II | 58 roles | 86 verses | Do, La–, Mi–, Si 7
ES - 155 - PADRE NUESTRO.chordpro | PADRE NUESTRO | 1 roles | 12 verses | Fa, La, La–, Re–, Sib, Sol–
ES - 156 - PLEGARIA EUCARÍSTICA II.chordpro | PLEGARIA EUCARÍSTICA II | 32 roles | 102 verses | Do, Fa, La, La 7, La–, Mi, Mi 7, Mi–, Re, Re 7, Re–, Si 7, Si–, Sol, Sol–
ES - 157 - PLEGARIA EUCARÍSTICA II.chordpro | PLEGARIA EUCARÍSTICA II | 29 roles | 92 verses | Fa, La, La–, Mi–, Si–, Sol
ES - 158 - PLEGARIA EUCARÍSTICA IV.chordpro | PLEGARIA EUCARÍSTICA IV | 30 roles | 146 verses | Do, Fa, La–, Mi, Mi 7, Re, Re–, Sol
ES - 159 - PREFACIO PARA ADVIENTO Y NAVIDAD.chordpro | PREFACIO PARA ADVIENTO Y NAVIDAD | 9 roles | 27 verses | Fa, La–, Mi, Mi–, Sol
ES - 160 - PREFACIO PARA EL TIEMPO PASCUAL.chordpro | PREFACIO PARA EL TIEMPO PASCUAL | 11 roles | 27 verses | Fa, La–, Mi, Re–, Sol
ES - 161 - PREGÓN PASCUAL.chordpro | PREGÓN PASCUAL | 18 roles | 72 verses | Do, Fa, La–, Mi, Mi 7, Sol
ES - 162 - SALMODIA PARA EL SALMO RESPONSORIAL.chordpro | SALMODIA PARA EL SALMO RESPONSORIAL | 7 roles | 21 verses | Do, La–, Mi–, Si 7
ES - 163 - SALMODIA PARA LAS ORACIONES UNIVERSALES.chordpro | SALMODIA PARA LAS ORACIONES UNIVERSALES | 8 roles | 39 verses | Mi–, Re, Sol
ES - 164 - SANTO PALOMERAS 65.chordpro | SANTO PALOMERAS 65 | 6 roles | 18 verses | Fa, La, La–, Mi
ES - 165 - SANTO HEBREO.chordpro | SANTO HEBREO | 11 roles | 21 verses | Fa, Re–, Sol–
ES - 166 - SANTO PALESTINA 74.chordpro | SANTO PALESTINA 74 | 5 roles | 19 verses | La, Re–, Sol–
ES - 167 - SANTO ROMA 77.chordpro | SANTO ROMA 77 | 7 roles | 15 verses | Fa, La–, Mi, Sol
ES - 168 - SANTO 1982.chordpro | SANTO 1982 | 5 roles | 17 verses | Fa, La–, Mi, Re–, Sol
ES - 169 - SANTO 1988.chordpro | SANTO 1988 | 14 roles | 20 verses | Fa, La–, Mi, Sol
ES - 170 - TE DEUM.chordpro | TE DEUM | 10 roles | 52 verses | Fa#, La, Re, Si–
