# IT Parsing Summary Log
# Generated: 2025-09-01 16:46:49
# Timestamp: 20250901_164649
📊 Processing Summary:
   ✅ Processed: 225 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\it\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
IT - 001 - A TE LEVO I MIEI OCCHI.chordpro | A TE LEVO I MIEI OCCHI | 5 roles | 21 verses | La, La7, Re m, Sib, Sol m
IT - 020 - ANDIAMO GIÀ, PASTORI.chordpro | ANDIAMO GIÀ, PASTORI | 5 roles | 14 verses | La m, Mi m, Si7
IT - 021 - AVE MARIA I.chordpro | AVE MARIA I | 2 roles | 14 verses | Do, Fa, La m, Mi, Re m
IT - 022 - AVE MARIA II.chordpro | AVE MARIA II | 2 roles | 15 verses | Do, Fa, Mi
IT - 023 - BENEDETTA SEI TU, MARIA.chordpro | BENEDETTA SEI TU, MARIA | 5 roles | 15 verses | Fa, La m, Mi, Re m, Sol
IT - 024 - BENEDETTO SIA IDDIO.chordpro | BENEDETTO SIA IDDIO | 6 roles | 32 verses | Fa#, La, Re, Si m, Sol
IT - 025 - BENEDICI ANIMA MIA, JAHVÈ.chordpro | BENEDICI ANIMA MIA, JAHVÈ | 3 roles | 13 verses | La m, Mi, Re m
IT - 026 - BENEDICTUS.chordpro | BENEDICTUS | 7 roles | 31 verses | La7, Re m, Sol m
IT - 027 - BENEDIRÒ IL SIGNORE IN OGNI TEMPO.chordpro | BENEDIRÒ IL SIGNORE IN OGNI TEMPO | 9 roles | 25 verses | Do, La, Re m, Sib
IT - 028 - BENEDITE IL SIGNORE.chordpro | BENEDITE IL SIGNORE | 7 roles | 19 verses | La, Re m, Sib
IT - 029 - BENEDIZIONE DELL’ACQUA DEL FONTE BATTESIMALE.chordpro | BENEDIZIONE DELL’ACQUA DEL FONTE BATTESIMALE | 8 roles | 54 verses | Do, La m, Mi m, Re, Si7
IT - 030 - BENEDIZIONE PER LA CELEBRAZIONE PENITENZIALE.chordpro | BENEDIZIONE PER LA CELEBRAZIONE PENITENZIALE | 10 roles | 32 verses | Fa, La m, Mi, Mi7, Re m, Sol
IT - 031 - CANTICO DEI TRE GIOVANI NELLA FORNACE - I PARTE.chordpro | CANTICO DEI TRE GIOVANI NELLA FORNACE - I PARTE | 16 roles | 24 verses | Do, Fa# m, La, Mi, Mi m, Re, Si7, Sol
IT - 032 - CANTICO DEI TRE GIOVANI NELLA FORNACE - II PARTE.chordpro | CANTICO DEI TRE GIOVANI NELLA FORNACE - II PARTE | 15 roles | 47 verses | La m, Mi7
IT - 033 - CANTICO DI MOSÈ - PRECIPITÒ NEL MARE.chordpro | CANTICO DI MOSÈ - PRECIPITÒ NEL MARE | 17 roles | 59 verses | Do7, Fa, La7, Re7, Sol7
IT - 034 - CANTO DEI BAMBINI NELLA VEGLIA DI PASQUA.chordpro | CANTO DEI BAMBINI NELLA VEGLIA DI PASQUA | 22 roles | 40 verses | La m, Mi, Re m
IT - 035 - CANTO DEI LIBERATI.chordpro | CANTO DEI LIBERATI | 7 roles | 12 verses | Do, Fa, La m, Mi, Mi7, Sol
IT - 036 - CANTO DI GIOSUÈ.chordpro | CANTO DI GIOSUÈ | 8 roles | 23 verses | Do, Do#, Fa# m, La, Mi, Mi m, Re, Si7, Sol# m
IT - 037 - CARITAS CHRISTI.chordpro | CARITAS CHRISTI | 5 roles | 26 verses | Do, Fa, La m, La7, Mi, Re m, Re m9, Sol
IT - 038 - CARMEN ‘63.chordpro | CARMEN ‘63 | 5 roles | 23 verses | Fa, Fa#, La, La m, Mi, Mi m, Re, Re m, Si, Sol
IT - 039 - C’È UN TEMPO PER OGNI COSA.chordpro | C’È UN TEMPO PER OGNI COSA | 8 roles | 29 verses | Do, Fa, La m, Mi m, Mi7, Re m
IT - 040 - C’ERANO DUE ANGELI.chordpro | C’ERANO DUE ANGELI | 4 roles | 13 verses | La m, Mi, Re m
IT - 041 - CHE BELLE SONO LE TUE TENDE.chordpro | CHE BELLE SONO LE TUE TENDE | 7 roles | 37 verses | Mi m, Re, Si m, Sol
IT - 042 - CHE MI BACI.chordpro | CHE MI BACI | 4 roles | 25 verses | La, La7, Re m, Sib
IT - 043 - CHI CI SEPARERÀ.chordpro | CHI CI SEPARERÀ | 8 roles | 26 verses | Fa, La m, Mi, Mi7, Sol
IT - 044 - CHI È COLEI.chordpro | CHI È COLEI | 5 roles | 26 verses | Fa, La m, Mi, Re m, Sol
IT - 045 - COME CONDANNATI A MORTE.chordpro | COME CONDANNATI A MORTE | 10 roles | 34 verses | Fa, La m, Mi, Sol
IT - 046 - COME È BELLO, COME DÀ GIOIA.chordpro | COME È BELLO, COME DÀ GIOIA | 9 roles | 15 verses | Fa, La m, Mi, Re m, Sol
IT - 047 - COME LA CERVA ANELA.chordpro | COME LA CERVA ANELA | 6 roles | 35 verses | Do#, Do# m, Fa# m, La, Mi, Si, Si7, Sol#
IT - 048 - COME LO SLANCIO DELL’IRA.chordpro | COME LO SLANCIO DELL’IRA | 8 roles | 27 verses | Do, Fa, La m, La7, Mi, Re m, Sol
IT - 049 - COME PECORA CHE VEDE.chordpro | COME PECORA CHE VEDE | 12 roles | 28 verses | Do, La m, Mi m, Si7
IT - 050 - COME STILLA IL MIELE.chordpro | COME STILLA IL MIELE | 7 roles | 40 verses | Fa, La m, Mi, Re m
IT - 051 - CONSOLATE IL MIO POPOLO.chordpro | CONSOLATE IL MIO POPOLO | 6 roles | 19 verses | La m, Mi m, Si7, Sol
IT - 052 - COSÌ PARLA L’AMEN.chordpro | COSÌ PARLA L’AMEN | 7 roles | 31 verses | Do, Mi m, Re7, Si7, Sol
IT - 053 - CREDO APOSTOLICO.chordpro | CREDO APOSTOLICO | 1 roles | 21 verses | Do, Fa, La, La m, Re m, Sib
IT - 054 - DAJENÙ.chordpro | DAJENÙ | 34 roles | 67 verses | Do, La m, Mi m, Re, Si7
IT - 055 - DAL PROFONDO A TE GRIDO.chordpro | DAL PROFONDO A TE GRIDO | 11 roles | 35 verses | Fa, La m, Mi7, Re m, Sol
IT - 056 - DAVANTI AGLI ANGELI.chordpro | DAVANTI AGLI ANGELI | 9 roles | 24 verses | Do, Fa, Mi, Re m9, Sol
IT - 057 - DEBORA.chordpro | DEBORA | 10 roles | 32 verses | Fa, La m, Mi, Mi m, Re7
IT - 058 - DEGNO SEI.chordpro | DEGNO SEI | 4 roles | 18 verses | Fa, La m, La7, Re m, Sol m
IT - 059 - DICE IL SIGNORE AL MIO SIGNORE.chordpro | DICE IL SIGNORE AL MIO SIGNORE | 5 roles | 27 verses | Do# m, La, Mi, Si, Si7, Sol#
IT - 060 - DITE AGLI SMARRITI DI CUORE.chordpro | DITE AGLI SMARRITI DI CUORE | 8 roles | 24 verses | Do, Fa, La m, Mi, Mi m, Re m
IT - 061 - È PAZIENTE.chordpro | È PAZIENTE | 7 roles | 44 verses | (Fa), Fa, La m, Mi, Re m
IT - 062 - ECCO LO SPECCHIO NOSTRO.chordpro | ECCO LO SPECCHIO NOSTRO | 8 roles | 15 verses | La m, La7, Re m, Sol m
IT - 063 - ECCO QUI IL MIO SERVO.chordpro | ECCO QUI IL MIO SERVO | 5 roles | 21 verses | Do, Fa, La m, La7, Mi, Mi7, Re m
IT - 064 - ECCO QUI, IO VENGO PRESTO.chordpro | ECCO QUI, IO VENGO PRESTO | 4 roles | 15 verses | Do#, Fa# m, La, Mi, Mi7, Si7
IT - 065 - ELI, ELI, LAMÀ SABACTANI.chordpro | ELI, ELI, LAMÀ SABACTANI? | 9 roles | 89 verses | La m, Mi m, Si7
IT - 066 - ESULTATE, GIUSTI, NEL SIGNORE.chordpro | ESULTATE, GIUSTI, NEL SIGNORE | 5 roles | 19 verses | Do, La m, Mi m, Re, Si7, Sol
IT - 067 - EVENU SHALOM ALEJEM.chordpro | EVENU SHALOM ALEJEM | 9 roles | 21 verses | La, La7, Re m, Sol m
IT - 068 - FELICE L’UOMO.chordpro | FELICE L’UOMO | 7 roles | 19 verses | Fa, La m, Mi, Sol
IT - 069 - FELICITÀ PER L’UOMO.chordpro | FELICITÀ PER L’UOMO | 5 roles | 11 verses | Fa, La m, Mi, Re m, Re m9
IT - 070 - FIGLIE DI GERUSALEMME.chordpro | FIGLIE DI GERUSALEMME | 9 roles | 19 verses | Fa, La m, Mi, Sol
IT - 071 - FINO A QUANDO.chordpro | FINO A QUANDO | 8 roles | 17 verses | La m, Mi, Mi7
IT - 072 - FUGGI, MIO DILETTO.chordpro | FUGGI, MIO DILETTO | 5 roles | 17 verses | Fa, Fa# m, La, La m, Mi, Re m
IT - 073 - FRATELLI, NON DIAMO A NESSUNO MOTIVO D’INCIAMPO.chordpro | FRATELLI, NON DIAMO A NESSUNO MOTIVO D’INCIAMPO | 7 roles | 39 verses | Fa, La m, La7, Mi, Re m
IT - 074 - GERUSALEMME RICOSTRUITA.chordpro | GERUSALEMME RICOSTRUITA | 8 roles | 42 verses | La m, Sol
IT - 075 - GESÙ PERCORREVA TUTTE LE CITTÀ.chordpro | GESÙ PERCORREVA TUTTE LE CITTÀ | 20 roles | 44 verses | Do, Fa, La m, Mi, Mi m, Mi7, Re m, Sol
IT - 076 - GIÀ VIENE IL MIO DIO.chordpro | GIÀ VIENE IL MIO DIO | 9 roles | 24 verses | Mi m, Si7
IT - 077 - GIÀ VIENE IL REGNO.chordpro | GIÀ VIENE IL REGNO | 9 roles | 22 verses | Do, La m, Mi7
IT - 078 - GIACOBBE.chordpro | GIACOBBE | 9 roles | 39 verses | Do, Fa, La m, Mi, Mi7, Re, Sol
IT - 079 - GIORNO DI RIPOSO.chordpro | GIORNO DI RIPOSO | 10 roles | 15 verses | La m, Mi m
IT - 080 - GIUNGA LA MIA PREGHIERA FINO A TE.chordpro | GIUNGA LA MIA PREGHIERA FINO A TE | 2 roles | 13 verses | Fa, La m, Mi, Sol
IT - 081 - GIUNTI SUI FIUMI DI BABILONIA.chordpro | GIUNTI SUI FIUMI DI BABILONIA | 5 roles | 28 verses | La m, Mi m, Re, Si7
IT - 082 - GLORIA A DIO NELL’ALTO DEI CIELI.chordpro | GLORIA A DIO NELL’ALTO DEI CIELI | 9 roles | 22 verses | Fa# m, La, Mi m, Re, Sol
IT - 083 - GRAZIE A JAHVÈ.chordpro | GRAZIE A JAHVÈ | 24 roles | 34 verses | Do, La m, Mi m, Re, Si m, Si7, Sol
IT - 084 - GRIDATE CON GIOIA.chordpro | GRIDATE CON GIOIA | 7 roles | 19 verses | Fa, La m, Mi, Sol
IT - 085 - GUARDATE COME È BELLO.chordpro | GUARDATE COME È BELLO | 11 roles | 15 verses | Do, Mi m, Re, Si m, Si7, Sol
IT - 086 - GUARDATE COME È BELLO, GUSTATE QUANTO È SOAVE.chordpro | GUARDATE COME È BELLO, GUSTATE QUANTO È SOAVE | 9 roles | 26 verses | Do, La m, Mi m, Si7
IT - 087 - GUSTATE E VEDETE.chordpro | GUSTATE E VEDETE | 7 roles | 17 verses | Do, Do7, La m, Mi m, Si7
IT - 088 - HO SPERATO, HO SPERATO NEL SIGNORE.chordpro | HO SPERATO, HO SPERATO NEL SIGNORE | 12 roles | 35 verses | Fa, La m, Mi, Mi m
IT - 089 - HO STESO LE MIE MANI.chordpro | HO STESO LE MIE MANI | 5 roles | 15 verses | Fa#, La, Mi, Re, Si m, Sol
IT - 090 - IL MESSIA, LEONE PER VINCERE.chordpro | IL MESSIA, LEONE PER VINCERE | 5 roles | 14 verses | Do, Fa, La m, Mi, Re m
IT - 091 - IL PIGIATORE.chordpro | IL PIGIATORE | 5 roles | 25 verses | La m, Mi m, Re, Si7
IT - 092 - IL POPOLO CHE CAMMINAVA NELLE TENEBRE.chordpro | IL POPOLO CHE CAMMINAVA NELLE TENEBRE | 4 roles | 28 verses | Do, Fa, La m, Sol, Sol#
IT - 093 - IL SEMINATORE.chordpro | IL SEMINATORE | 18 roles | 39 verses | Fa, La, La7, Re m, Sol, Sol m
IT - 094 - IL SIGNORE ANNUNCIA UNA NOTIZIA.chordpro | IL SIGNORE ANNUNCIA UNA NOTIZIA | 5 roles | 21 verses | La, La m, Mi m, Si m, Sol
IT - 095 - IL SIGNORE È IL MIO PASTORE.chordpro | IL SIGNORE È IL MIO PASTORE | 11 roles | 35 verses | Fa, La m, Mi, Mi7, Sol
IT - 096 - IL SIGNORE È MIA LUCE E MIA SALVEZZA.chordpro | IL SIGNORE È MIA LUCE E MIA SALVEZZA | 6 roles | 20 verses | Do, La7, Re m, Sib, Sol, Sol m
IT - 097 - IL SIGNORE MI HA DATO.chordpro | IL SIGNORE MI HA DATO | 10 roles | 32 verses | Do, Fa#, Fa# m, Re, Si m, Sol
IT - 098 - IN MEZZO A UNA GRANDE FOLLA.chordpro | IN MEZZO A UNA GRANDE FOLLA | 7 roles | 29 verses | Fa, La m, Mi, Sol
IT - 099 - IN UNA NOTTE OSCURA.chordpro | IN UNA NOTTE OSCURA | 5 roles | 32 verses | Fa, La m, Mi, Re m
IT - 100 - INNO A CRISTO LUCE.chordpro | INNO A CRISTO LUCE | 3 roles | 14 verses | La m, Mi m, Re7, Si7, Sol
IT - 101 - INNO ALLA CARITÀ.chordpro | INNO ALLA CARITÀ | 2 roles | 29 verses | Do, Fa, La m, Sol
IT - 102 - INNO ALLA CROCE GLORIOSA.chordpro | INNO ALLA CROCE GLORIOSA | 6 roles | 25 verses | Do# m, Fa# m, La, Mi, Si7, Sol#
IT - 103 - INNO ALLA KENOSIS – CRISTO GESÙ È IL SIGNORE!.chordpro | INNO ALLA KENOSIS – CRISTO GESÙ È IL SIGNORE! | 12 roles | 34 verses | Do, La m, Mi m, Re, Si7, Sol
IT - 104 - INNO DI AVVENTO.chordpro | INNO DI AVVENTO | 2 roles | 22 verses | La m, Mi, Re m
IT - 105 - INNO DI PASQUA.chordpro | INNO DI PASQUA | 4 roles | 20 verses | La m, La7, Mi7, Re m
IT - 106 - IO VENGO A RIUNIR.chordpro | IO VENGO A RIUNIR | 11 roles | 22 verses | Do# m, Fa#, La, Mi, Si, Si7, Sol#
IT - 107 - JAHVÈ, TU SEI IL MIO DIO.chordpro | JAHVÈ, TU SEI IL MIO DIO | 7 roles | 16 verses | Fa, La m, Mi7, Sol
IT - 108 - LA COLOMBA VOLÒ.chordpro | LA COLOMBA VOLÒ | 5 roles | 34 verses | Do, La m, Mi m, Si7
IT - 109 - LA ESPADA.chordpro | LA ESPADA | 11 roles | 26 verses | Do, Fa, La m, Mi7, Re m
IT - 110 - LA MARCIA È DURA.chordpro | LA MARCIA È DURA | 4 roles | 16 verses | Do, La m, Mi m, Si7
IT - 111 - LA MIA DILETTA È PER ME.chordpro | LA MIA DILETTA È PER ME | 9 roles | 37 verses | Fa#, La, Mi m, Si m, Sol
IT - 112 - ALLA CENA DELL’AGNELLO.chordpro | ALLA CENA DELL’AGNELLO | 11 roles | 29 verses | Fa, La m, Mi, Sol
IT - 113 - COME STILLA IL MIELE.chordpro | COME STILLA IL MIELE | 7 roles | 40 verses | Fa, La m, Mi, Re m
IT - 114 - DOVE TI SEI NASCOSTO, AMATO.chordpro | DOVE TI SEI NASCOSTO, AMATO | 5 roles | 35 verses | (Fa), Fa, La m, Mi, Sol
IT - 115 - LA COLOMBA VOLÒ.chordpro | LA COLOMBA VOLÒ | 5 roles | 34 verses | Do, La m, Mi m, Si7
IT - 116 - LA MIA DILETTA È PER ME.chordpro | LA MIA DILETTA È PER ME | 9 roles | 37 verses | Fa#, La, Mi m, Si m, Sol
IT - 117 - MI RUBASTI IL CUORE.chordpro | MI RUBASTI IL CUORE | 6 roles | 37 verses | Do, Fa, La7, Re m, Sib, Sol m
IT - 118 - SALGA LO SPOSO SUL LEGNO DEL SUO TALAMO.chordpro | SALGA LO SPOSO SUL LEGNO DEL SUO TALAMO | 5 roles | 23 verses | Fa, La m, Mi, Mi7, Re m
IT - 119 - TU SEI BELLA, AMICA MIA.chordpro | TU SEI BELLA, AMICA MIA | 6 roles | 32 verses | La, La7, Re m, Re7, Sib, Sol m
IT - 120 - LA MIETITURA DELLE NAZIONI.chordpro | LA MIETITURA DELLE NAZIONI | 8 roles | 22 verses | Fa#, La, La7, Mi m, Si m, Sol
IT - 121 - LA VOCE DEL MIO AMATO.chordpro | LA VOCE DEL MIO AMATO | 8 roles | 34 verses | Do, Fa, La m, Mi, Re m, Re m9, Sol
IT - 122 - LE ONDE DELLA MORTE MI AVVOLGEVANO.chordpro | LE ONDE DELLA MORTE MI AVVOLGEVANO | 4 roles | 22 verses | Fa#, La, Re, Si m, Sol
IT - 123 - LE SUE FONDAMENTA.chordpro | LE SUE FONDAMENTA | 4 roles | 20 verses | Fa, La m, Mi, Re m, Si7, Sol
IT - 124 - LITANIE PENITENZIALI I.chordpro | LITANIE PENITENZIALI I | 20 roles | 27 verses | Do, La m, Mi m, Si7
IT - 125 - LITANIE PENITENZIALI II.chordpro | LITANIE PENITENZIALI II | 5 roles | 53 verses | Do, La m, Mi m, Si7
IT - 126 - LO SPIRITO DEL SIGNORE È SOPRA DI ME.chordpro | LO SPIRITO DEL SIGNORE È SOPRA DI ME | 6 roles | 23 verses | Fa, La m, Mi, Sol
IT - 127 - LO STESSO IDDIO.chordpro | LO STESSO IDDIO | 10 roles | 30 verses | Fa#, La, Re, Si m, Sol
IT - 128 - LO STOLTO PENSA CHE NON C’È DIO.chordpro | LO STOLTO PENSA CHE NON C’È DIO | 7 roles | 23 verses | Do, Fa, La m, La7, Re m, Sib, Sol m
IT - 129 - LODATE IDDIO.chordpro | LODATE IDDIO | 8 roles | 17 verses | La, Mi, Re
IT - 130 - LODATE IL SIGNORE DAI CIELI.chordpro | LODATE IL SIGNORE DAI CIELI | 6 roles | 33 verses | Do, La m
IT - 131 - LODATE IL SIGNORE TUTTI I POPOLI DELLA TERRA.chordpro | LODATE IL SIGNORE TUTTI I POPOLI DELLA TERRA | 5 roles | 11 verses | Do, La m, Si7, Sol
IT - 132 - MAGNIFICAT.chordpro | MAGNIFICAT | 13 roles | 43 verses | La, La7, Mi, Re
IT - 133 - MARIA, CASA DI BENEDIZIONE.chordpro | MARIA, CASA DI BENEDIZIONE | 5 roles | 19 verses | Fa, La m, Mi, Re m, Sol
IT - 134 - MARIA DI JASNA GÓRA.chordpro | MARIA DI JASNA GÓRA | 8 roles | 24 verses | La m, Mi m, Si
IT - 135 - MARIA, MADRE DEL CAMMINO ARDENTE.chordpro | MARIA, MADRE DEL CAMMINO ARDENTE | 4 roles | 14 verses | Do, La, Mi m, Re, Sol
IT - 136 - MARIA, MADRE DELLA CHIESA.chordpro | MARIA, MADRE DELLA CHIESA | 6 roles | 30 verses | Fa maj7, La m, Mi, Mi7, Re m, Sol, Sol7
IT - 137 - MARIA, PICCOLA MARIA.chordpro | MARIA, PICCOLA MARIA | 4 roles | 27 verses | Fa#, Fa# m, La, La7, Re, Sol
IT - 138 - MELODIA PER LA PREGHIERA UNIVERSALE.chordpro | MELODIA PER LA PREGHIERA UNIVERSALE | 9 roles | 36 verses | Mi, Mi m, Re, Sol
IT - 139 - MI HAI SEDOTTO, SIGNORE.chordpro | MI HAI SEDOTTO, SIGNORE | 7 roles | 25 verses | Do, Fa, La m, Mi, Mi7, Sol
IT - 140 - MI INDICHERAI IL SENTIERO DELLA VITA.chordpro | MI INDICHERAI IL SENTIERO DELLA VITA | 7 roles | 32 verses | Fa, La m, Mi, Re m
IT - 141 - MI RUBASTI IL CUORE.chordpro | MI RUBASTI IL CUORE | 6 roles | 35 verses | Do, Fa, La7, Re m, Sib, Sol m
IT - 142 - MISERICORDIA, DIO, MISERICORDIA.chordpro | MISERICORDIA, DIO, MISERICORDIA | 21 roles | 52 verses | La m, Mi m, Re
IT - 143 - MOLTO MI HANNO PERSEGUITATO.chordpro | MOLTO MI HANNO PERSEGUITATO | 7 roles | 24 verses | La7, Re m
IT - 144 - NESSUNO PUÒ SERVIRE DUE PADRONI.chordpro | NESSUNO PUÒ SERVIRE DUE PADRONI | 8 roles | 35 verses | Do, Do7, La m, Mi m, Re, Re7, Si m, Si7, Sol
IT - 145 - NOLI ME TANGERE.chordpro | NOLI ME TANGERE | 11 roles | 31 verses | Do, Do m, Fa, Fa m, Sib, Sol, Sol#
IT - 146 - NON C’È IN LUI BELLEZZA.chordpro | NON C’È IN LUI BELLEZZA | 7 roles | 22 verses | Do, Fa, La m, Sol, Sol7
IT - 147 - NON È QUI. È RISORTO!.chordpro | NON È QUI. È RISORTO! | 6 roles | 25 verses | Do, Do m, Fa, Mi, Mib7, Re m, Re7, Sol, Sol m
IT - 148 - NON MORIRÒ.chordpro | NON MORIRÒ | 67 roles | 73 verses | Do, Mi m, Si7, Sol
IT - 149 - NON RESISTETE AL MALE.chordpro | NON RESISTETE AL MALE | 8 roles | 32 verses | La, La7, Re, Si m, Sol
IT - 150 - NON TI ADIRARE.chordpro | NON TI ADIRARE | 7 roles | 28 verses | Fa, La m, Mi7, Re m
IT - 151 - O CIELI, PIOVETE DALL’ALTO.chordpro | O CIELI, PIOVETE DALL’ALTO | 17 roles | 35 verses | Fa, La m, Mi, Mi7, Sol
IT - 152 - O DIO, PER IL TUO NOME SALVAMI.chordpro | O DIO, PER IL TUO NOME SALVAMI | 4 roles | 26 verses | Do, Fa7, La, La m, La7, Mi, Re m, Sib, Sib7, Sol m
IT - 153 - O DIO, TU SEI IL MIO DIO.chordpro | O DIO, TU SEI IL MIO DIO | 9 roles | 23 verses | Fa, La m, Mi, Re m
IT - 154 - O GESÙ, AMORE MIO.chordpro | O GESÙ, AMORE MIO | 19 roles | 35 verses | Fa, La m, Mi, Sol
IT - 155 - O MORTE, DOV’È LA TUA VITTORIA.chordpro | O MORTE, DOV’È LA TUA VITTORIA? | 11 roles | 41 verses | Do, Fa#, La, La m, La m6, Re, Re m, Re7, Si m, Sol
IT - 156 - O SIGNORE, NOSTRO DIO.chordpro | O SIGNORE, NOSTRO DIO | 5 roles | 15 verses | Do, La m, Mi m, Si7, Sol
IT - 157 - PADRE NOSTRO.chordpro | PADRE NOSTRO | 4 roles | 17 verses | Fa, La, La m, Re m, Sib, Sol m
IT - 158 - PENTECOSTE.chordpro | PENTECOSTE | 6 roles | 32 verses | Do, Fa, La, La7, Re m, Sib, Sol
IT - 159 - PER AMORE DEI MIEI FRATELLI.chordpro | PER AMORE DEI MIEI FRATELLI | 10 roles | 31 verses | La m, Mi m, Si7
IT - 160 - PERCHÉ LE GENTI CONGIURANO.chordpro | PERCHÉ LE GENTI CONGIURANO? | 6 roles | 32 verses | La m, Mi m, Si7
IT - 161 - PIETÀ DI ME, O DIO.chordpro | PIETÀ DI ME, O DIO | 33 roles | 46 verses | La m, Mi m
IT - 162 - PORTAMI IN CIELO.chordpro | PORTAMI IN CIELO | 6 roles | 18 verses | Do# m, La, Mi, Si7, Sol#
IT - 163 - PRECONIO PASQUALE.chordpro | PRECONIO PASQUALE | 16 roles | 74 verses | Do, Fa, La m, Mi, Sol
IT - 164 - PREGHIERA EUCARISTICA II.chordpro | PREGHIERA EUCARISTICA II | 19 roles | 115 verses | Do, Fa, La, La m, La7, Mi, Mi m, Mi7, Re m, Si m, Sol, Sol m, Sol7
IT - 165 - PREGHIERA EUCARISTICA II.chordpro | PREGHIERA EUCARISTICA II | 15 roles | 99 verses | Fa, La, La m, Mi m, Si m, Sol
IT - 166 - PREGHIERA EUCARISTICA IV.chordpro | PREGHIERA EUCARISTICA IV | 15 roles | 158 verses | Do, DoDo, Fa, La m, Mi, Mi7, MiMi, Re, Re m, Sol
IT - 167 - PRENDERÒ, INNALZERÒ LA COPPA DI SALVEZZA.chordpro | PRENDERÒ, INNALZERÒ LA COPPA DI SALVEZZA | 6 roles | 35 verses | Fa# m, La, Mi m, Mi7, Re, Re7, Si m, Sol
IT - 168 - QUANDO DORMIVO.chordpro | QUANDO DORMIVO | 7 roles | 35 verses | Do, Fa, La m, Mi, Mi7, Re m, Sol
IT - 169 - QUANDO IL SIGNORE.chordpro | QUANDO IL SIGNORE | 6 roles | 33 verses | La, Mi m, Re, Sol
IT - 170 - QUANDO ISRAELE USCÌ DALL’EGITTO.chordpro | QUANDO ISRAELE USCÌ DALL’EGITTO | 9 roles | 37 verses | Do# m, Fa, Fa#, Fa# m, La, La m, Mi, Mi m, Re, Si, Si m, Sol, Sol#
